N#,카테고리#,내용#,링크
0#,[오늘의 날짜]#,2021년 08월 02일 (Mon)
1#,[뉴스 정치]#,"尹 ""페미니즘 정치에 악용, 건전한 이성 교제 막는다""…與 ""여성혐오 조장 무식한 발언""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=277&aid=0004947630
2#,[뉴스 정치]#,'보수 대선후보 왕좌는 나의 것'... 윤석열·최재형 질주 시작#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=469&aid=0000621369
3#,[뉴스 정치]#,"“페미니즘, 남녀 교제 막아”…윤석열, 황당한 저출생 문제 의식#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=032&aid=0003089393
4#,[뉴스 정치]#,"이재명 대변인 “음주운전, 대리비 아끼고픈 마음” SNS 글 논란… 이낙연 측 “억지 궤변”#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=022&aid=0003606274
5#,[뉴스 정치]#,윤석열 “가난하면 불량식품 먹어도 된단 얘기가 아닌데”… 이재명 “제 눈 의심” 유승민 “철학이 의문”#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=022&aid=0003606273
6#,[뉴스 경제]#,"“태양광, 전력수요 5.2GW 낮춰… 탈원전으로 전력 위기 사실 아냐”#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=022&aid=0003606270
7#,[뉴스 경제]#,"""도둑질할 판"" 전세 40대 절규…20~30대 패닉바잉 여전#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=057&aid=0001597593
8#,[뉴스 경제]#,"文 ""추석 전 국민 70% 맞힌다""…백신 조달 자신감 찾았나#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=008&aid=0004625490
9#,[뉴스 경제]#,"[팩트맨]‘같은 음식점, 다른 가격’…배달앱 따라 바뀐다?#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=449&aid=0000212744
10#,[뉴스 경제]#,"""코로나에도 웃었다""…기업마다 '사상 최대' 실적(종합)#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=003&aid=0010643502
11#,[뉴스 IT/과학]#,GPU메모리 용량 확 키우는 기술 나왔다#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=029&aid=0002690353
12#,[뉴스 IT/과학]#,"먹는 코로나 치료제 누가 먼저 내놓나, 치열한 `최초` 다툼#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=029&aid=0002690348
13#,[뉴스 IT/과학]#,[뉴스분석] 수수료 뜯다 쥐어뜯기다#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=029&aid=0002690345
14#,[뉴스 IT/과학]#,"‘5년 만에 한 풀었다’ 방준혁, 역대급 베팅…소셜카지노 무엇?#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=018&aid=0005001236
15#,[뉴스 IT/과학]#,“시끄러워 못살겠다”…소음 없는 ‘배달 오토바이’ 언제 도입하나#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001869732
16#,[뉴스 CNBC]#,There’s an unemployment cliff coming. More than 7.5 million may fall off#,https://www.cnbc.com/2021/08/01/an-unemployment-cliff-is-coming-more-than-7point5-million-may-fall-off.html
17#,[뉴스 CNBC]#,"Stocks making the biggest moves in the premarket: Square, Moderna, First Solar and more#",https://www.cnbc.com/2021/08/02/stocks-making-the-biggest-moves-in-the-premarket-square-moderna-first-solar-and-more.html
18#,[뉴스 CNBC]#,CDC says 74% of people infected in Massachusetts Covid outbreak were fully vaccinated#,https://www.cnbc.com/2021/07/30/cdc-study-shows-74percent-of-people-infected-in-massachusetts-covid-outbreak-were-fully-vaccinated.html
19#,[뉴스 CNBC]#,Treasury Dept to invoke 'extraordinary measures' as Congress misses debt-ceiling deadline#,https://www.cnbc.com/2021/08/02/treasury-to-invoke-extraordinary-measures-as-debt-ceiling-returns.html
20#,[뉴스 CNBC]#,Want to mine bitcoin full time? This 19 year-old works and lives on a hydro powered mining farm#,https://www.cnbc.com/2021/07/31/bitcoin-miners-how-they-got-into-it-what-their-lives-are-like.html
20#,[경제 환율]#,"1,151.00@1.00(-0.09%) 하락"
21#,[경제 나스닥]#,"14,672.68@105.58(-0.71%) 하락"
22#,[경제 SP]#,"4,395.26@23.89(-0.54%) 하락"
