N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"81,500",300,+0.37%,100,"4,865,373","5,969,783",54.69,"12,731,766",21.22,9.99,
2,SK하이닉스,"135,000","2,000",+1.50%,"5,000","982,803","728,002",50.01,"3,793,699",20.67,9.53,
3,NAVER,"383,000","3,000",+0.79%,100,"629,129","164,263",57.09,"689,120",62.82,15.22,
4,삼성전자우,"73,800",400,+0.54%,100,"607,290","822,887",78.12,"1,240,946",19.21,N/A,
5,LG화학,"802,000","14,000",+1.78%,"5,000","566,151","70,592",44.17,"362,028",122.46,2.93,
6,삼성바이오로직스,"725,000","7,000",+0.97%,"2,500","479,696","66,165",10.22,"51,870",199.07,N/A,
7,현대차,"215,500","2,500",-1.15%,"5,000","460,455","213,668",30.75,"1,467,899",41.90,2.04,
8,삼성SDI,"647,000","12,000",+1.89%,"5,000","444,906","68,765",43.15,"305,114",79.23,4.54,
9,카카오,"495,000","10,000",+2.06%,500,"439,296","88,747",33.34,"372,684",278.72,2.70,
10,셀트리온,"314,000","6,500",+2.11%,"1,000","423,987","135,028",20.93,"792,806",84.48,16.68,
11,기아차,"80,600",700,-0.86%,"5,000","326,723","405,363",34.00,"2,795,060",21.96,5.05,
12,POSCO,"318,000","9,500",+3.08%,"5,000","277,254","87,187",53.76,"486,004",17.31,3.61,
13,현대모비스,"283,500","1,000",-0.35%,"5,000","268,738","94,793",39.78,"350,649",17.63,4.66,
14,LG생활건강,"1,524,000","21,000",-1.36%,"5,000","238,021","15,618",45.60,"24,261",33.85,17.92,
15,LG전자,"143,000","5,000",-3.38%,"5,000","234,016","163,648",30.99,"1,983,506",13.14,13.23,
16,삼성물산,"123,000",500,-0.40%,100,"229,871","186,887",14.94,"454,506",22.49,3.81,
17,SK텔레콤,"274,000","20,500",+8.09%,500,"221,243","80,746",37.25,"1,097,621",14.71,6.44,
18,KB금융,"53,200",600,+1.14%,"5,000","221,210","415,808",68.69,"1,494,185",6.40,8.53,
19,엔씨소프트,"898,000","8,000",-0.88%,500,"197,147","21,954",50.78,"162,171",33.56,20.83,
20,SK,"275,500","19,500",+7.62%,200,"193,843","70,360",21.31,"829,329",103.18,1.11,
21,SK이노베이션,"209,000","1,500",+0.72%,"5,000","193,253","92,466",22.61,"461,377",-9.01,-13.58,
22,신한지주,"36,550",700,+1.95%,"5,000","188,817","516,600",59.85,"2,800,781",5.42,8.20,
